id,EA_HAB,EA_LIT,EA_MAL,EA_JOUE,EA_AID,EA_EMM,EA_SATTACHE,OA_VAISS,OA_REPAS,OA_ALIME,OA_LINGE,OA_ASPIR,OA_BRICO,OA_COMPT,OA_INVIT,OA_SATREP,OB_DACHQUO,OB_DACHEX,OB_DEDUC,OB_DLOISIR,OB_GESTION,OC_SATREL,OC_DESTAC,VA_MARIDEP,VA_COHAB,VA_MARITJS,VA_DIVORC,VA_FEMENF,VA_HOMENF,VA_DEUXPAR,VA_MERSEUL,VA_EFTAUTO,VA_DROITHOMO,VA_GPOCCPE,VA_PARAIDENF,VA_PARENCH,VA_ENRESPAR,VA_ENFCH,VA_FILLEFILS,VA_ENFAIDPAR,VA_ACCPAR,VA_DIFFAGE,VA_REVFE,VA_DEPFE,VA_FOYEPAN,VA_HOMPOL,VA_ENFMERAC,VA_ENFPERAC,VA_DIVGARD,VA_HOMPRIO,VA_PARPRIO,VA_JEUPRIO,VA_QPERSAGE,VA_QENFPS,VA_QENFSCO,VA_QFINPERSA,VA_QFINPAREN,MA_AGEMQ,MC_DIPLOME,PF_PCSM8,PF_PCSP8,CA_DIPLOME,EA_VERIFC,poids12,PA_DURMTRA,PB_DURMTRA,MA_SEXE,AH_CS8,PF_AGEDEPFOY_rec,PF_AVECQUI_rec,PE_NBFSV_rec,PA_VERIFCOH_rec,PA_FQAVM_rec,PB_FQAVP_rec,PA_MEREBV_rec,PB_PEREBV_rec,TYPFAM3_rec,EA_ADULT16_rec,NBENF14_rec,NBENF3_rec,MA_ACT_rec,NBENFTOTM_rec,EA_AUTPERS_rec,OA_AUTPERS_rec,MA_AGEM_rec
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,3,3,2,3,2,3,2,2,3,2,3,4,2,2,3,4,2,3,3,2,2,3,5,2,3,3,4,3,2,2,10,8,NA,3,NA,2,3037.633939,300,300,1,3,23,1,2,4,1,1,1,1,1,2,2,2,2,0,NA,NA,48
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,4,2,2,3,3,4,2,3,3,3,2,4,4,4,3,4,5,1,2,7,6,4,1,NA,2,2395.680811,2,2,2,5,30,1,1,4,2,2,1,1,1,2,2,2,2,0,NA,NA,34
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,1,5,1,5,2,2,2,3,1,4,2,2,3,4,5,2,5,3,5,1,4,5,4,4,2,5,3,3,2,4,3,2,4,4,6,NA,6,NA,2,3063.513456,135,135,2,8,18,1,1,4,1,1,1,1,1,2,2,2,2,0,NA,NA,19
4,8,8,4,3,2,7,8,5,5,3,5,5,1,3,3,8,5,3,3,3,3,NA,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,5,5,1,1,5,5,3,1,5,4,5,2,5,5,1,5,5,5,5,2,8,4,NA,NA,1,1,3868.503845,10,NA,1,6,24,2,5,4,2,NA,1,2,4,2,1,2,2,2,1,1,36
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,1,3,3,3,5,1,2,1,1,1,1,5,5,1,1,5,4,1,1,5,1,1,5,9,2,5,3,5,5,3,3,7,8,NA,NA,NA,2,3489.272028,NA,720,1,4,8,6,5,4,NA,1,2,1,1,2,2,2,2,0,NA,NA,31
6,NA,NA,NA,NA,NA,NA,NA,3,4,3,3,3,2,1,3,10,3,3,NA,3,6,NA,1,1,1,5,1,5,5,2,1,3,2,5,2,5,5,5,5,3,5,5,5,1,2,5,1,2,5,5,2,5,4,5,5,3,3,10,4,5,2,4,1,4094.623892,15,15,1,5,22,1,NA,4,1,1,1,1,3,2,2,2,2,0,NA,3,48
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,2,4,4,2,2,1,1,1,1,1,2,2,2,2,2,3,5,1,1,4,1,3,3,4,4,3,2,4,5,4,4,14,8,2,2,NA,2,2053.740415,NA,NA,1,7,20,1,1,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,66
8,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3,1,1,6,1,3,NA,3,1,8,2,5,2,1,1,1,2,2,4,4,3,4,2,4,3,5,5,2,2,4,5,1,2,4,1,1,1,1,1,3,5,4,5,3,3,11,4,NA,4,3,1,2034.167366,450,NA,2,8,20,1,5,4,1,NA,1,2,3,2,2,2,2,0,NA,3,50
9,4,3,5,4,97,5,8,3,3,4,2,3,1,4,3,7,3,4,4,3,3,9,2,5,1,2,2,1,1,1,3,2,2,2,2,4,2,4,4,2,2,3,5,3,3,3,3,4,4,5,3,4,3,4,3,1,2,8,4,NA,6,5,1,4137.163437,30,30,1,5,30,1,3,4,2,2,1,1,4,2,1,1,2,2,3,3,37
10,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,5,3,3,5,3,4,NA,3,4,8,3,2,2,2,1,2,2,2,4,2,4,1,2,4,2,4,5,3,2,5,4,2,1,4,1,2,1,5,1,2,3,2,3,1,1,6,5,NA,4,5,1,4070.500053,45,10,2,5,21,3,3,4,1,2,1,1,3,2,2,2,2,0,NA,3,28
